dataset,method,mae,rmse,max_err,n
moon__clean,ALPRD_v2.0,1.7049874089171542e-07,6.760174418273027e-07,7.3025606500981164e-06,324
moon__clean,savgol_default,1.3046710417964258e-06,2.2817527488553415e-06,1.4462985524817378e-05,324
moon__clean,drv_savgol_oracle,3.294184964892858e-08,4.9953370813455366e-08,2.7303900730421137e-07,324
moon__clean,drv_spline_oracle,1.615917872588397e-06,2.6298067425548586e-06,2.321319477679106e-05,324
moon__clean,drv_kalman_oracle,1.8009053325504204e-07,1.6475635352027427e-06,2.608545363516363e-05,324
moon__clean,pnd_butter_oracle,1.2994598078331361e-06,2.7435841980027215e-06,3.238574901891651e-05,324
moon__clean,pnd_savgol_oracle,2.5679722489826403e-06,3.5311098613723816e-06,2.9592883839137834e-05,324
moon__clean,pnd_median_oracle,2.5802876181316567e-06,4.2924628256480015e-06,2.1668993450929997e-05,324
moon__noise1e3,ALPRD_v2.0,7.225214646949325e-07,1.344563845670639e-06,1.1899905804230073e-05,324
moon__noise1e3,savgol_default,1.7385107737322589e-06,2.5439557844417627e-06,1.324765508703898e-05,324
moon__noise1e3,drv_savgol_oracle,9.238988996258036e-07,1.2871124745424489e-06,1.0827811127801898e-05,324
moon__noise1e3,drv_spline_oracle,7.327969454478502e-07,9.053848885319305e-07,2.9395299744159763e-06,324
moon__noise1e3,drv_kalman_oracle,1.306747945403175e-06,4.856166858224887e-06,6.256363986305023e-05,324
moon__noise1e3,pnd_butter_oracle,1.405514429664583e-06,2.5620511643421347e-06,2.8522052724409266e-05,324
moon__noise1e3,pnd_savgol_oracle,2.639575393914717e-06,3.3948973373593074e-06,2.369084222245043e-05,324
moon__noise1e3,pnd_median_oracle,4.006426144813631e-06,5.597908301338597e-06,2.181259104837215e-05,324
moon__noise1e2,ALPRD_v2.0,3.4257608422133396e-06,7.262974675789385e-06,6.469776931591014e-05,324
moon__noise1e2,savgol_default,1.2763707685908672e-05,1.6136924225245285e-05,7.383455682378391e-05,324
moon__noise1e2,drv_savgol_oracle,8.573038573078634e-06,1.1008717329523494e-05,3.41619131327032e-05,324
moon__noise1e2,drv_spline_oracle,5.342519879298659e-06,7.058965223540326e-06,2.0976466570395665e-05,324
moon__noise1e2,drv_kalman_oracle,4.472130876676019e-06,9.47334168378466e-06,9.306215817179498e-05,324
moon__noise1e2,pnd_butter_oracle,3.782592861963051e-06,7.777402589593468e-06,7.020611950441869e-05,324
moon__noise1e2,pnd_savgol_oracle,6.592129808068891e-06,8.224307594523623e-06,2.5164068048250132e-05,324
moon__noise1e2,pnd_median_oracle,2.5093664322539194e-05,3.253628359644271e-05,0.00010428905006312707,324
moon__outliers5pct,ALPRD_v2.0,8.141911839007344e-07,1.2842016611680792e-06,9.699766586488952e-06,324
moon__outliers5pct,savgol_default,0.0009059577724667608,0.0017160366722207725,0.008043286485684076,324
moon__outliers5pct,drv_savgol_oracle,0.0002814427058620669,0.0004522682505808944,0.002187355825248919,324
moon__outliers5pct,drv_spline_oracle,0.004351400534673233,0.012685292916894927,0.08031006185920433,324
moon__outliers5pct,drv_kalman_oracle,0.00037174259062446084,0.0005454207419323518,0.0019734747685168923,324
moon__outliers5pct,pnd_butter_oracle,0.00010148560041550781,0.00012767475275930366,0.0004198900886728721,324
moon__outliers5pct,pnd_savgol_oracle,8.072875744210232e-05,0.0001056094036402736,0.0003510945685284843,324
moon__outliers5pct,pnd_median_oracle,9.564175006862309e-05,0.00021855741273012897,0.0018138195870922936,324
mars__clean,ALPRD_v2.0,1.8094170693581087e-07,3.275505949765837e-07,3.011386373298619e-06,219
mars__clean,savgol_default,1.4458995132551677e-05,2.199155058605219e-05,9.350728998647933e-05,219
mars__clean,drv_savgol_oracle,0.0008827024215840263,0.0030563487794808756,0.015110346362937874,219
mars__clean,drv_spline_oracle,2.027711306728779e-05,2.7229857529945683e-05,0.00012826400684341072,219
mars__clean,drv_kalman_oracle,1.9802012183374995e-07,1.6730039549038045e-06,2.212315610815828e-05,219
mars__clean,pnd_butter_oracle,1.6345280705985088e-05,4.1752870934720755e-05,0.00045366238985709503,219
mars__clean,pnd_savgol_oracle,1.8144764683301425e-05,2.2743997338827324e-05,0.00011281845825448188,219
mars__clean,pnd_median_oracle,0.00028819411218942455,0.0018156066422720391,0.017823834660334464,219
mars__noise1e3,ALPRD_v2.0,3.859585227843609e-05,8.402156341550143e-05,0.0005513946057861905,219
mars__noise1e3,savgol_default,6.455448611607154e-05,8.23446001556338e-05,0.00030214204129017097,219
mars__noise1e3,drv_savgol_oracle,0.0011825286398523174,0.0030952815333881497,0.015109314768316492,219
mars__noise1e3,drv_spline_oracle,2.0199728742109325e-05,3.131463833548623e-05,0.00028456330965506704,219
mars__noise1e3,drv_kalman_oracle,0.0002468417744177138,0.00031428697981246195,0.0009209269075326175,219
mars__noise1e3,pnd_butter_oracle,4.6053027950137363e-05,7.100276761197607e-05,0.0005712355646776759,219
mars__noise1e3,pnd_savgol_oracle,3.988669813505623e-05,5.14058470824385e-05,0.00019855384871407533,219
mars__noise1e3,pnd_median_oracle,0.0003792493390016465,0.0018233259371243143,0.017807237085959594,219
mars__noise1e2,ALPRD_v2.0,0.0003899553052943779,0.0006416550417663579,0.005114656548959238,219
mars__noise1e2,savgol_default,0.0007164099448460193,0.000962967461302606,0.004601327911055561,219
mars__noise1e2,drv_savgol_oracle,0.0041117993047771395,0.005535838858302512,0.019499224507204913,219
mars__noise1e2,drv_spline_oracle,0.0002510624412214663,0.0003147585394629781,0.0006961025330740694,219
mars__noise1e2,drv_kalman_oracle,0.002518198333276718,0.0032025195416794587,0.010162852161418027,219
mars__noise1e2,pnd_butter_oracle,0.00016304876664152587,0.0002317817400455285,0.0011509103893670054,219
mars__noise1e2,pnd_savgol_oracle,0.00013625484598124452,0.00018461682999188059,0.0006520089118307506,219
mars__noise1e2,pnd_median_oracle,0.0014242162730628716,0.0023754032192753916,0.01815946246091725,219
mars__outliers5pct,ALPRD_v2.0,2.305155676235306e-05,3.5009067048917284e-05,0.0001401266050643996,219
mars__outliers5pct,savgol_default,0.04566244909286508,0.08773511732382097,0.37697004363569114,219
mars__outliers5pct,drv_savgol_oracle,0.011852116728231773,0.03465263182913409,0.4772555110547648,219
mars__outliers5pct,drv_spline_oracle,0.28650942441968874,0.779484231009185,4.618306039790885,219
mars__outliers5pct,drv_kalman_oracle,0.1412067568972496,0.3897156916660706,1.787222259106165,219
mars__outliers5pct,pnd_butter_oracle,0.004120531987478499,0.0055477032749589,0.01638733371213208,219
mars__outliers5pct,pnd_savgol_oracle,0.0028645553441429355,0.003565798498131844,0.008104781203906961,219
mars__outliers5pct,pnd_median_oracle,0.001606551544898745,0.0039704080756172875,0.026809052723122763,219
